frame,direction,steering,stable_direction
0,NONE,0.0,NONE
1,NONE,0.0,NONE
2,NONE,0.0,NONE
3,NONE,0.0,NONE
4,NONE,0.0,NONE
5,NONE,0.0,NONE
6,NONE,0.0,NONE
7,NONE,0.0,NONE
8,NONE,0.0,NONE
9,NONE,0.0,NONE
10,NONE,0.0,NONE
11,NONE,0.0,NONE
12,NONE,0.0,NONE
13,NONE,0.0,NONE
14,NONE,0.0,NONE
15,NONE,0.0,NONE
16,NONE,0.0,NONE
17,NONE,0.0,NONE
18,NONE,0.0,NONE
19,NONE,0.0,NONE
20,NONE,0.0,NONE
21,NONE,0.0,NONE
22,NONE,0.0,NONE
23,NONE,0.0,NONE
24,NONE,0.0,NONE
25,NONE,0.0,NONE
26,NONE,0.0,NONE
27,NONE,0.0,NONE
28,NONE,0.0,NONE
29,NONE,0.0,NONE
30,NONE,0.0,NONE
31,NONE,0.0,NONE
32,NONE,0.0,NONE
33,NONE,0.0,NONE
34,NONE,0.0,NONE
35,NONE,0.0,NONE
36,NONE,0.0,NONE
37,NONE,0.0,NONE
38,NONE,0.0,NONE
39,NONE,0.0,NONE
40,NONE,0.0,NONE
41,NONE,0.0,NONE
42,NONE,0.0,NONE
43,NONE,0.0,NONE
44,NONE,0.0,NONE
45,NONE,0.0,NONE
46,NONE,0.0,NONE
47,NONE,0.0,NONE
48,NONE,0.0,NONE
49,NONE,0.0,NONE
50,NONE,0.0,NONE
51,NONE,0.0,NONE
52,NONE,0.0,NONE
53,NONE,0.0,NONE
54,NONE,0.0,NONE
55,NONE,0.0,NONE
56,NONE,0.0,NONE
57,NONE,0.0,NONE
58,NONE,0.0,NONE
59,NONE,0.0,NONE
60,NONE,0.0,NONE
61,NONE,0.0,NONE
62,NONE,0.0,NONE
63,NONE,0.0,NONE
64,NONE,0.0,NONE
65,NONE,0.0,NONE
66,NONE,0.0,NONE
67,NONE,0.0,NONE
68,NONE,0.0,NONE
69,NONE,0.0,NONE
70,NONE,0.0,NONE
71,NONE,0.0,NONE
72,NONE,0.0,NONE
73,NONE,0.0,NONE
74,NONE,0.0,NONE
75,NONE,0.0,NONE
76,NONE,0.0,NONE
77,NONE,0.0,NONE
78,NONE,0.0,NONE
79,NONE,0.0,NONE
80,NONE,0.0,NONE
81,NONE,0.0,NONE
82,NONE,0.0,NONE
83,NONE,0.0,NONE
84,NONE,0.0,NONE
85,NONE,0.0,NONE
86,NONE,0.0,NONE
87,NONE,0.0,NONE
88,NONE,0.0,NONE
89,NONE,0.0,NONE
90,NONE,0.0,NONE
91,NONE,0.0,NONE
92,NONE,0.0,NONE
93,NONE,0.0,NONE
94,NONE,0.0,NONE
95,NONE,0.0,NONE
96,NONE,0.0,NONE
97,NONE,0.0,NONE
98,NONE,0.0,NONE
99,NONE,0.0,NONE
100,NONE,0.0,NONE
101,NONE,0.0,NONE
102,NONE,0.0,NONE
103,NONE,0.0,NONE
104,NONE,0.0,NONE
105,NONE,0.0,NONE
106,NONE,0.0,NONE
